,DISTRICT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
143,GANDHINAGAR,3478,3299,3380,2756,2646,2841,2970,4808,4890,5755,5716,6530,6933
144,HIMATNAGAR,4013,4386,4182,4053,4380,6525,6041,4887,3365,3713,4667,6411,10261
145,JAMNAGAR,3857,3571,3225,3794,3882,3903,6978,5332,4694,3972,5126,5030,4247
146,JUNAGADH,5186,4980,4832,4764,5786,4683,4864,5288,5521,4690,4196,3915,4099
147,KHEDA NORTH,3851,3868,3627,3643,3997,4550,5069,5265,4168,5277,4868,5092,4838
148,MEHSANA,5175,5120,4789,4549,4792,4649,4924,4604,4672,4602,4368,5353,7496
149,NARMADA,536,696,477,590,1049,643,822,810,755,841,625,674,727
150,NAVSARI,1404,1354,1402,1199,1246,1177,994,995,870,1078,1370,1542,1737
151,PALANPUR,3887,3745,3788,3544,3845,5018,4793,4107,4325,4728,5273,4867,5480
152,PANCHMAHAL,2535,2416,2192,2306,3259,3421,3673,3323,3460,3720,3540,3677,3563
153,PATAN,2447,2389,2357,2186,2646,2679,2974,2948,2564,2438,3147,3107,3677
154,PORBANDAR,1215,1213,958,1008,1086,954,924,1014,973,875,872,896,838
155,RAJKOT COMMR.,4774,4644,4802,4339,3934,3489,3912,5525,4475,4024,3939,4319,3572
156,RAJKOT RURAL,4402,4382,4319,4178,4809,4167,3994,3870,4269,3741,4582,4297,4683
157,SURAT COMMR.,3995,4172,4401,4131,5273,8659,10986,10741,7564,7426,8446,9246,24307
158,SURAT RURAL,1766,2060,2156,2614,2246,2366,1607,1589,1446,1698,3408,3644,3242
159,SURENDRANAGAR,3113,3137,3051,2850,3526,2748,3220,2957,2951,2871,3037,2985,2822
160,VADODARA COMMR.,5047,7116,5712,5551,5276,5672,5109,5386,5060,5352,5727,6440,12786
161,VADODARA RURAL,3137,3377,3215,3142,3023,2616,2858,2755,2836,2663,3133,3479,3439
162,VALSAD,3109,2746,2481,2565,1694,2066,1854,1800,1777,1821,2532,2731,2713
163,BHIWANI,1855,1938,1994,2181,2184,2519,2573,2739,2732,2871,3015,3378,3877
164,FARIDABAD,5808,6999,7110,5585,5051,4682,4520,4516,4409,4920,5357,5023,5264
165,FATEHABAD,1214,1226,938,1104,1282,1430,1550,1621,1627,1385,1334,1535,1974
167,GRP,615,770,729,931,859,859,1139,1260,1264,1199,11,10,14
168,GURGAON,3502,3623,3683,4077,3969,5528,6355,7170,6340,6736,6640,7138,9729
169,HISSAR,2830,2545,2355,2464,2709,3117,2986,3166,3346,3821,4371,4536,5432
