,DISTRICT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
623,HOWRAH G.R.P.,951,509,467,498,569,826,493,666,455,708,667,499,415
624,JALPAIGURI,2321,1924,2301,2866,2886,2610,6654,12992,6445,7433,7886,7861,7161
625,KOLKATA,11970,10663,10714,10757,9391,9381,10901,13005,13615,15510,17152,25370,26319
626,MALDA,1859,1611,1747,2467,2241,2102,2175,2798,3927,4286,4496,5634,5280
627,MURSHIDABAD,2683,2631,3467,4283,4052,4759,5243,6302,12308,13094,14154,12713,12310
628,NADIA,3623,3786,3520,4218,4454,4672,5623,7247,8706,9274,12271,11919,12135
629,PURULIA,1292,1158,1089,1125,1034,1094,1385,1744,1506,1795,1895,1841,1613
630,SEALDAH G.R.P.,418,410,337,424,304,295,269,257,373,467,535,657,647
631,SILIGURI G.R.P.,143,130,147,141,141,99,96,135,116,133,231,248,242
632,UTTAR DINAJPUR,1540,1325,1327,1566,1705,1981,2019,2730,2923,3759,3885,5212,6998
633,CHANDIGARH,3397,3806,2806,2889,3133,3126,3643,3931,3555,3373,3542,3606,4077
634,DAMAN,194,211,240,171,193,243,210,192,208,164,170,202,217
635,DIU,45,50,29,27,50,45,50,56,68,39,54,37,29
636,CENTRAL,3750,3578,2998,3335,3529,3706,3248,3100,2833,2828,2451,2973,4562
637,NEW DELHI,2660,2406,2177,2651,2295,2288,2195,1859,1492,1452,1181,1057,1458
638,LAKSHADWEEP,36,53,31,70,42,80,56,95,134,42,44,60,40
