,Points,Latitude
100,26.4207265,84.37406407415165
101,0,0
102,24.967852049999998,86.17351147289283
103,25.15247135,85.00687848982191
104,25.560900349999997,87.64765353997149
105,0,0
106,25.4916868,86.69910848212217
107,26.130435300000002,87.94010318229245
108,25.167702900000002,86.05935924304018
109,25.9259562,86.82042961035677
110,26.350071999999997,86.22914688962271
111,26.66951195,84.95741062485514
112,25.22081165,86.51720367235285
113,26.1486581,85.34001282479626
114,0,0
115,25.1364914,85.44365464855682
116,25.3857731,87.0997616
117,24.8858896,85.5481255
118,25.6093239,85.1235252
119,0,0
120,25.7773601,87.4731227
121,24.6723487,83.92090397276326
122,25.83264165,86.61489283342814
123,25.7744929,85.86626813370123
124,25.90835495,84.78074760594323
125,25.12635425,85.81510620944194
126,26.49436945,85.27280559513997
127,26.5876547,85.5056744
128,26.1310043,84.39125660595198
129,26.2768118,86.79658662614811
130,25.95322565,85.14457760191539
131,0,0
132,20.73218365,81.14335738365043
133,21.572645950000002,82.43670691696435
134,23.6263016,83.48245091656527
135,21.6783969,81.43047622833333
136,21.98934025,82.10996498737376
137,0,0
138,18.9080391,81.3550047
139,20.7084545,81.5481305
140,21.19903535,81.3979545573657
141,20.52684285,82.18783100443316
142,21.2379469,81.6336833
143,19.0870758,82.0235715
144,22.0090841,82.578896
145,22.76678355,83.95304518953317
146,22.11428865,81.25157988751951
147,20.1270026,80.98109349472911
148,19.5885769,81.6628742
149,22.3547468,82.7110855
150,23.431414349999997,82.31393341197054
151,21.1882332,82.48484762499999
152,22.0661098,81.6874282
153,19.5842032,81.1136985512029
154,22.5,83.5
155,21.2379469,81.6336833
156,20.9727404,80.69155548263583
157,0,0
158,18.26654225,81.29252341475065
159,23.35151515,82.97290272665015
160,0,0
161,15.60444125,74.00172406307475
162,15.21961365,74.1152813019196
163,0,0
164,0,0
165,22.2393654,72.21063588906509
166,0,0
167,20.866667,70.75
168,22.5584995,72.9625629
169,21.75,73
170,21.7718836,72.1416449
171,0,0
172,22.8358542,74.2556782
173,23.2232877,72.6492267
174,23.59398745,72.96903542922084
175,22.4732415,70.0552102
176,21.5174104,70.4642754
177,22.7507759,72.6847314
178,0,0
179,0,0
180,23.6015557,72.3867981
181,21.8700642,73.5079417
182,20.952407,72.9323831
183,24.1709794,72.4366375
184,23.1284825,73.6058222
185,23.77405735,71.68373465668734
186,21.6409,69.611
187,0,0
188,0,0
189,0,0
190,0,0
191,22.75,71.666667
192,21.1060413,72.7008247
193,0,0
194,21.9016643,69.7263192
195,20.4324018,73.1411715553577
196,0,0
197,0,0
198,0,0
199,0,0
200,18.1420729,79.5628848
201,28.7931703,76.1391283
202,28.4031478,77.3105561
203,29.51238035,75.4291789790538
204,34.1782048,71.646826
205,28.42826235,77.00270014657752
206,29.8223543,76.420987
207,0,0
208,28.53364155,76.68981477716189
209,29.301826249999998,76.33847076788838
210,29.822820749999998,76.37830986647243
211,29.6803266,76.9896254
212,29.9693747,76.8482787
213,28.25,76.166667
214,27.993178,77.04073902524605
215,28.176958900000002,77.37311203790532
216,30.7137692,76.86827600027706
217,29.3912753,76.9771675
218,28.1956468,76.6165179
219,28.9010899,76.5801935
220,29.583333,75.083333
221,28.9953758,77.0233627
222,30.2112003,77.28638972360895
223,0,0
224,0,0
225,31.3380959,76.7611631
226,32.518429,76.23086565661742
227,0,0
228,0,0
229,31.687996,76.51925223011676
230,32.06854705,76.24336792335127
231,31.586346,78.3968441
232,32.00186325,77.37899639741332
233,32.370901,78.08534855996182
234,31.6723392,76.95331690779145
235,31.1041526,77.1709729
236,30.75,77.5
237,30.92589585,77.08200509063624
238,31.583333,76.25
239,0,0
240,33.7368773,75.1455138
241,33.88208445,75.02975290939368
242,34.4232433,74.635965
243,34.205005650000004,74.36221081111597
244,33.909931900000004,74.6291442577981
245,0,0
246,0,0
247,33.1774307,75.56752281893789
